                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                    137,                0.70613,                0.45111,                 1.0778,                0.99247,                0.98801,                0.98829,                0.83942,                0.92345,                0.46577,                 1.2173,               0.005545,               0.005545,               0.005545
                    138,                0.70006,                0.44736,                 1.0802,                 0.9925,                0.98813,                0.98832,                0.83945,                0.92264,                 0.4649,                 1.2161,               0.005512,               0.005512,               0.005512
                    139,                0.70333,                0.45505,                 1.0855,                0.99152,                0.98808,                0.98833,                 0.8394,                 0.9201,                0.46226,                  1.214,               0.005479,               0.005479,               0.005479
                    140,                0.69491,                0.44122,                 1.0701,                 0.9915,                0.98854,                0.98827,                0.83988,                0.91945,                0.46072,                 1.2126,               0.005446,               0.005446,               0.005446
                    141,                0.70983,                0.45269,                 1.0801,                0.99222,                0.98804,                0.98836,                0.83964,                0.92022,                0.45916,                  1.213,               0.005413,               0.005413,               0.005413
                    142,                0.70666,                0.44838,                 1.0833,                0.99329,                 0.9874,                 0.9884,                0.84046,                0.92141,                0.45796,                 1.2132,                0.00538,                0.00538,                0.00538
                    143,                0.69686,                0.44889,                 1.0788,                0.99316,                 0.9875,                0.98839,                0.84097,                 0.9213,                0.45799,                 1.2117,               0.005347,               0.005347,               0.005347
                    144,                0.69736,                0.44592,                 1.0772,                0.99365,                0.98706,                 0.9884,                0.84066,                0.92024,                0.45824,                 1.2103,               0.005314,               0.005314,               0.005314
                    145,                0.70874,                0.44892,                 1.0799,                0.99379,                0.98726,                 0.9884,                0.84071,                0.91965,                0.45724,                 1.2102,               0.005281,               0.005281,               0.005281
                    146,                0.70468,                0.44334,                 1.0767,                 0.9936,                0.98746,                0.98841,                0.84108,                0.91979,                0.45698,                 1.2109,               0.005248,               0.005248,               0.005248
                    147,                0.69903,                0.44329,                 1.0768,                0.99353,                0.98745,                0.98845,                0.84146,                0.92104,                0.45766,                 1.2126,               0.005215,               0.005215,               0.005215
                    148,                0.69958,                0.44431,                  1.077,                0.99367,                0.98689,                 0.9884,                0.84141,                0.92242,                0.45857,                 1.2139,               0.005182,               0.005182,               0.005182
                    149,                0.69904,                0.44125,                 1.0747,                 0.9936,                 0.9872,                0.98845,                 0.8413,                 0.9228,                0.45717,                 1.2142,               0.005149,               0.005149,               0.005149
                    150,                0.70242,                0.44502,                 1.0804,                0.99351,                 0.9872,                0.98845,                0.84113,                0.92424,                0.45831,                 1.2148,               0.005116,               0.005116,               0.005116
                    151,                0.69322,                0.44512,                 1.0774,                0.99359,                0.98711,                0.98851,                0.84088,                0.92486,                0.45747,                 1.2152,               0.005083,               0.005083,               0.005083
                    152,                0.70262,                0.44183,                 1.0764,                0.99372,                0.98738,                0.98853,                0.84094,                0.92385,                0.45662,                 1.2148,                0.00505,                0.00505,                0.00505
                    153,                0.69635,                0.43913,                 1.0773,                0.99395,                0.98732,                0.98851,                 0.8413,                0.92311,                0.45556,                 1.2139,               0.005017,               0.005017,               0.005017
                    154,                0.69664,                0.43768,                 1.0746,                0.99352,                0.98725,                0.98845,                0.84119,                0.92229,                0.45396,                 1.2133,               0.004984,               0.004984,               0.004984
                    155,                0.69794,                0.43807,                 1.0736,                0.99335,                0.98747,                0.98847,                0.84158,                0.92244,                0.45419,                 1.2139,               0.004951,               0.004951,               0.004951
